                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.741,                 9.3426,                 4.2134,                      0,                      0,                      0,                      0,                 4.6149,                  7.476,                 4.1577,                0.00025,                0.00025,                0.00025
                      2,                 4.7444,                 8.2086,                 4.0991,                      0,                      0,                      0,                      0,                 4.5923,                 7.2761,                 4.1279,             0.00049559,             0.00049559,             0.00049559
                      3,                 4.6092,                 7.0814,                 3.9086,                      0,                      0,                      0,                      0,                 4.5529,                 6.8578,                 4.1142,             0.00072385,             0.00072385,             0.00072385
                      4,                 4.1518,                 6.5407,                  3.709,                      0,                      0,                      0,                      0,                 4.2537,                  5.968,                 3.8675,             0.00093479,             0.00093479,             0.00093479
                      5,                  3.972,                 6.1444,                  3.383,                0.00014,                0.02966,                 0.0001,                  3e-05,                 4.1743,                 6.4274,                 3.2926,               0.001085,               0.001085,               0.001085
                      6,                 3.7914,                 6.1488,                 3.1551,                0.00021,                0.07203,                0.00017,                  4e-05,                 3.7285,                 6.6715,                 3.1683,               0.001085,               0.001085,               0.001085
                      7,                 3.8065,                 5.7687,                 3.0224,                0.00029,                0.10169,                0.00034,                  8e-05,                 3.5101,                 6.2109,                 2.9625,              0.0010438,              0.0010438,              0.0010438
                      8,                  3.748,                 5.6655,                 2.9316,                0.00028,                0.08898,                0.00029,                 0.0001,                 3.4715,                  5.731,                 2.8924,              0.0010025,              0.0010025,              0.0010025
                      9,                 3.7148,                 5.8247,                 2.7754,                0.00024,                0.05508,                0.00019,                  5e-05,                 3.6327,                 5.3287,                 2.7959,             0.00096125,             0.00096125,             0.00096125
                     10,                 3.6235,                 5.4366,                 2.7844,                0.00032,                0.08051,                0.00025,                  9e-05,                 3.4071,                  5.218,                  2.695,                0.00092,                0.00092,                0.00092
                     11,                 3.5229,                 5.3782,                 2.7201,                0.00028,                0.10169,                 0.0003,                  8e-05,                 3.6034,                  5.186,                 2.7798,             0.00087875,             0.00087875,             0.00087875
                     12,                 3.5282,                 5.1621,                 2.6288,                0.00027,                0.10169,                 0.0003,                  8e-05,                 3.3445,                 4.7731,                 2.5852,              0.0008375,              0.0008375,              0.0008375
