                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6542,                 9.8607,                  4.227,                      0,                      0,                      0,                      0,                 4.6152,                 7.4731,                 4.1584,                0.00025,                0.00025,                0.00025
                      2,                 4.6498,                  8.828,                 4.1646,                      0,                      0,                      0,                      0,                  4.596,                 7.3459,                 4.1353,             0.00049559,             0.00049559,             0.00049559
                      3,                 4.4583,                 8.1287,                 4.0395,                      0,                      0,                      0,                      0,                 4.5562,                 6.9471,                 4.1317,             0.00072385,             0.00072385,             0.00072385
                      4,                 4.1052,                 7.7196,                 3.7494,                      0,                      0,                      0,                      0,                 4.3585,                 6.1185,                 3.9353,             0.00093479,             0.00093479,             0.00093479
                      5,                 3.8487,                 6.9975,                 3.4514,                  3e-05,                0.00424,                  2e-05,                      0,                 4.2987,                 6.6118,                 3.6636,               0.001085,               0.001085,               0.001085
                      6,                 3.8714,                 6.7541,                 3.2893,                0.00013,                0.01695,                  7e-05,                  2e-05,                 4.0113,                 6.3102,                 3.3933,               0.001085,               0.001085,               0.001085
                      7,                 3.7394,                 6.6124,                 3.1772,                0.00013,                 0.0339,                0.00014,                  4e-05,                 3.8538,                 5.8133,                 3.2237,              0.0010438,              0.0010438,              0.0010438
                      8,                 3.6204,                 6.4618,                 3.0365,                0.00022,                0.06356,                0.00042,                0.00014,                 3.5736,                  5.599,                 2.9213,              0.0010025,              0.0010025,              0.0010025
                      9,                 3.6186,                 6.2137,                 2.9488,                0.00028,                0.09322,                0.00027,                 0.0001,                 3.7067,                  5.153,                 2.8417,             0.00096125,             0.00096125,             0.00096125
                     10,                 3.4895,                 5.9535,                 2.8567,                0.00032,                0.07203,                0.00033,                 0.0001,                 3.4918,                 5.0403,                 2.7665,                0.00092,                0.00092,                0.00092
                     11,                 3.4541,                 5.7824,                 2.8272,                0.00029,                0.09746,                0.00035,                0.00012,                 3.4746,                  4.875,                 2.6507,             0.00087875,             0.00087875,             0.00087875
                     12,                 3.4725,                 5.6477,                  2.837,                0.00026,                0.04237,                0.00025,                  5e-05,                  3.633,                  4.632,                 2.7476,              0.0008375,              0.0008375,              0.0008375
                     13,                 3.4396,                 5.4395,                 2.7276,                0.00027,                0.08475,                0.00037,                0.00014,                 3.5932,                 4.6747,                 2.6661,             0.00079625,             0.00079625,             0.00079625
                     14,                 3.4535,                 5.3921,                 2.7258,                0.00025,                0.08475,                0.00029,                  9e-05,                 3.4828,                 4.6942,                 2.6754,               0.000755,               0.000755,               0.000755
                     15,                 3.3136,                 5.2804,                 2.6735,                0.00029,                0.10593,                0.00033,                  9e-05,                 3.3716,                 4.5782,                 2.5369,             0.00071375,             0.00071375,             0.00071375
                     16,                 3.3536,                 5.1748,                 2.5854,                0.00068,                0.15832,                0.00098,                0.00026,                 3.3337,                 4.4626,                 2.4586,              0.0006725,              0.0006725,              0.0006725
                     17,                 3.1999,                 5.0471,                 2.6406,                0.00046,                0.12155,                0.00067,                0.00018,                  3.367,                  4.455,                 2.4907,             0.00063125,             0.00063125,             0.00063125
                     18,                  3.211,                 5.0271,                 2.5767,                0.00089,                 0.1329,                0.00083,                0.00032,                 3.3696,                 4.6212,                 2.5286,                0.00059,                0.00059,                0.00059
                     19,                 3.2259,                 5.0364,                 2.6374,                  0.001,                0.12446,                0.00088,                0.00024,                 3.3655,                 4.4449,                 2.5574,             0.00054875,             0.00054875,             0.00054875
                     20,                 3.2022,                 4.9061,                  2.585,                0.00085,                0.15433,                0.00112,                0.00036,                 3.3159,                 4.4325,                 2.4949,              0.0005075,              0.0005075,              0.0005075
                     21,                 3.1523,                 4.8325,                 2.5753,                 0.0011,                0.17127,                0.00154,                0.00037,                 3.3207,                 4.4127,                 2.4417,             0.00046625,             0.00046625,             0.00046625
                     22,                 3.1376,                 4.8129,                 2.4963,                0.00479,                0.16704,                 0.0034,                0.00082,                  3.261,                 4.3571,                 2.3959,               0.000425,               0.000425,               0.000425
                     23,                 3.1579,                 4.7973,                 2.4921,                0.00143,                 0.1927,                0.00214,                0.00058,                 3.2396,                 4.3231,                 2.3787,             0.00038375,             0.00038375,             0.00038375
                     24,                 3.0596,                  4.675,                 2.4621,                0.00072,                0.15145,                0.00116,                0.00039,                 3.2996,                 4.2956,                 2.4039,              0.0003425,              0.0003425,              0.0003425
                     25,                 3.0748,                 4.6599,                 2.3929,                0.00051,                 0.1316,                0.00097,                0.00035,                 3.2373,                 4.3279,                 2.3793,             0.00030125,             0.00030125,             0.00030125
                     26,                 3.0473,                 4.6303,                 2.4287,                 0.0012,                0.16994,                 0.0016,                0.00048,                 3.1247,                 4.2913,                 2.3506,                0.00026,                0.00026,                0.00026
                     27,                 3.0596,                 4.5407,                 2.4245,                0.00241,                 0.2183,                0.00317,                0.00095,                 3.1378,                 4.3116,                 2.3803,             0.00021875,             0.00021875,             0.00021875
                     28,                 2.9692,                 4.6082,                  2.383,                0.00284,                 0.3291,                0.00416,                 0.0012,                 3.1075,                 4.2414,                 2.3038,              0.0001775,              0.0001775,              0.0001775
                     29,                 3.1146,                 4.5463,                 2.4194,                0.00263,                0.30924,                 0.0038,                0.00101,                 3.1289,                  4.207,                 2.2988,             0.00013625,             0.00013625,             0.00013625
                     30,                 3.0412,                   4.53,                 2.4105,                0.00214,                 0.3008,                0.00399,                0.00113,                 3.1474,                 4.1727,                 2.3015,                9.5e-05,                9.5e-05,                9.5e-05
